name,address,website,has_website,phone_number,business_type,reviews_count,reviews_average,latitude,longitude,keyword,category,searched_zipcode,email_1,email_2,email_3,all_emails,facebook,instagram,email_found,scrape_status
"Shake Shack Dallas, Uptown","2500 N Pearl St, Dallas, TX 75201",https://shakeshack.com,Yes,(214) 983-1023,,765.0,2.0,32.7934617,-96.8211527,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
The Exchange Food Hall,"211 S Akard St, Dallas, TX 75202",https://theexchangehall.com,Yes,(214) 464-8101,,366.0,1.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/exchangehall,https://www.instagram.com/theexchangehall/,No,no_contact_found
Talkinspoon by Guest365,"1716 Young St Suite 125, Dallas, TX 75201",https://talkinspoon.com,Yes,(469) 604-5351,,2.0,16.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,,,,,,https://www.instagram.com/talkinspoon/,No,no_contact_found
All Day,"420 S Ervay St UNIT 100, Dallas, TX 75201",https://allday.com,Yes,(877) 720-1324,,1.0,3.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Chop House Burger Dallas,"1501 Main St, Dallas, TX 75201",https://chophouseburger.com,Yes,(214) 741-2747,,310.0,2.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/ChopHouseBurger,http://instagram.com/chophouseburger,No,no_contact_found
Power House Cafe,"601 N Akard St, Dallas, TX 75201",https://powerhouse.cafe,Yes,(214) 871-7126,,8.0,7.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Chick-fil-A,"1401 Elm St Ste 220, Dallas, TX 75202",https://chick-fil-a.com,Yes,(214) 748-4520,,334.0,1.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Primo Tacos and Hot Dogs,"300 N Akard St #110, Dallas, TX 75201",https://primotacosandhotdogs.square.site,Yes,(469) 547-2047,,8.0,22.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Eloisas kitchen,"16 Woodall Rodgers Fwy, Dallas, TX 75201",https://eloisaskitchen.com,Yes,(469) 251-3536,,2.0,29.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,eloisa@eloisaskitchen.com,,,eloisa@eloisaskitchen.com,,https://www.instagram.com/eloisitas/,Yes,found_homepage
Williams Chicken,"407 N Lamar St, Dallas, TX 75202",https://williamschicken.com,Yes,(469) 941-4891,,8.0,36.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Uno Mas Tex Mex,"1525 Main St, Dallas, TX 75201",https://unomastexmex.com,Yes,,,471.0,5.0,32.7794769,-96.8177616,quick service restaurant,Food & Restaurant,75201,downtowndallas@unomastexmex.com,,,downtowndallas@unomastexmex.com,,https://www.instagram.com/unomastexmex/,Yes,found_subpage
Potbelly,"2222 McKinney Ave, Dallas, TX 75201",https://potbelly.com,Yes,(214) 303-1007,,1.0,30.0,32.7933716,-96.8201553,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Snap Kitchen - Uptown,"2222 McKinney Ave STE 110, Dallas, TX 75201",https://snapkitchen.com,Yes,(469) 206-3460,,1.0,19.0,32.7933716,-96.8201553,quick service restaurant,Food & Restaurant,75201,,,,,,https://www.instagram.com/snapkitchen/,No,no_contact_found
Mendocino Farms,"2000 Ross Ave, Dallas, TX 75201",https://mendocinofarms.com,Yes,(214) 379-1490,,8.0,25.0,32.7933716,-96.8201553,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
McDonalds,"1000 Commerce St, Dallas, TX 75202",https://mcdonalds.com,Yes,(469) 227-8533,,248.0,5.0,32.778673,-96.8210514,quick service restaurant,Food & Restaurant,75201,franchising@us.mcd.com,,,franchising@us.mcd.com,https://www.facebook.com/McDonalds/,https://www.instagram.com/wearegolden/,Yes,found_subpage
Salata,"1700 Pacific Ave Suite No. C105, Dallas, TX 75201",https://salata.com,Yes,(214) 855-9898,,4.0,3.0,32.778673,-96.8210514,quick service restaurant,Food & Restaurant,75201,contact@salata.com,,,contact@salata.com,https://www.facebook.com/SalataSalads,https://instagram.com/salatasalads,Yes,found_homepage
Lubys Culinary at Courts Cafe,"500 Elm St, Dallas, TX 75202",https://lubyscs.com,Yes,,,1.0,9.0,32.778673,-96.8210514,quick service restaurant,Food & Restaurant,75201,culinaryservices@lubyscs.com,,,culinaryservices@lubyscs.com,,,Yes,found_homepage
Smashburger,"2222 McKinney Ave, Dallas, TX 75201",https://smashburger.com,Yes,(469) 341-3394,,306.0,1.0,32.7934937,-96.8201175,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/smashburger,https://www.instagram.com/smashburger/,No,no_contact_found
