name,address,website,has_website,phone_number,business_type,reviews_count,reviews_average,latitude,longitude,keyword,category,searched_zipcode,email_1,email_2,email_3,all_emails,facebook,instagram,email_found,scrape_status
Chick-fil-A,"1401 Elm St Ste 220, Dallas, TX 75202",https://chick-fil-a.com,Yes,(214) 748-4520,,334,1.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Whataburger,"2428 N Haskell Ave., Dallas, TX 75204",https://locations.whataburger.com,Yes,(214) 821-0293,,131,5.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/whataburger,https://instagram.com/whataburger,No,no_contact_found
"Shake Shack Dallas, Uptown","2500 N Pearl St, Dallas, TX 75201",https://shakeshack.com,Yes,(214) 983-1023,,765,2.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
McDonalds,"1000 Commerce St, Dallas, TX 75202",https://mcdonalds.com,Yes,(469) 227-8533,,248,5.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,franchising@us.mcd.com,,,franchising@us.mcd.com,https://www.facebook.com/McDonalds/,https://www.instagram.com/wearegolden/,Yes,found_subpage
Chop House Burger Dallas,"1501 Main St, Dallas, TX 75201",https://chophouseburger.com,Yes,(214) 741-2747,,310,2.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/ChopHouseBurger,http://instagram.com/chophouseburger,No,no_contact_found
Primo Tacos and Hot Dogs,"300 N Akard St #110, Dallas, TX 75201",https://primotacosandhotdogs.square.site,Yes,(469) 547-2047,,8,22.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Williams Chicken,"407 N Lamar St, Dallas, TX 75202",https://williamschicken.com,Yes,(469) 941-4891,,8,36.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Chick-fil-A,"J.G. LaHair @ Baylor Dallas Ed, 3500 Gaston Ave, Dallas, TX 75246",https://chick-fil-a.com,Yes,(214) 820-3215,,4,41.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Potbelly,"J.G. LaHair @ Baylor Dallas Ed, 3500 Gaston Ave, Dallas, TX 75246",https://chick-fil-a.com,Yes,(214) 820-3215,,4,41.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
McDonald's,"700 N Pearl St, Dallas, TX 75201",https://mcdonalds.com,Yes,(214) 999-1170,,0,17.0,32.8036737,-96.8502104,fast food restaurant,Food & Restaurant,75201,franchising@us.mcd.com,,,franchising@us.mcd.com,https://www.facebook.com/McDonalds/,https://www.instagram.com/wearegolden/,Yes,found_subpage
