name,address,website,phone_number,latitude,longitude,keyword,searched_zipcode,category
Big+Blue+Swim+School,"
9658 Main St, Fairfax, VA 22031","
bigblueswimschool.com","
(571) 357-2858",38.8431009,-114.1899343,kids swimming lessons,22116,
Propel+Swim+Academy,"
43160 Amberwood Plaza, South Riding, VA 20152","
propelswimacademy.com","
(703) 544-1992",38.8431009,-114.1899343,kids swimming lessons,22116,
Big+Blue+Swim+School,"
6112-A Arlington Blvd, Seven Corners, VA 22044","
bigblueswimschool.com","
(571) 786-8102",38.8431009,-114.1899343,kids swimming lessons,22116,
Swimbox,"
5183B Langston Blvd., Arlington, VA 22207","
theswimbox.com","
(703) 904-6340",38.8431009,-114.1899343,kids swimming lessons,22116,
Central+Park+Aquatic+Center%2F+Occoquan+Swim+Academy,"
10371 Central Park Dr, Manassas, VA 20110","
swimoccs.org","
(703) 393-2632",38.8431009,-114.1899343,kids swimming lessons,22116,
Weaquatics,"
Chinquapin Park Recreation Center, 3210 King St, Alexandria, VA 22302","
weaquatics.com","
(202) 656-8423",38.8431009,-114.1899343,kids swimming lessons,22116,
Big+Blue+Swim+School,"
7202 Old Keene Mill Rd, Springfield, VA 22150","
bigblueswimschool.com","
(571) 866-9101",38.8431009,-114.1899343,kids swimming lessons,22116,
Machine+Performance+Center,"
204 Mill St NE D, Vienna, VA 22180","
machineperformancecenter.com","
(703) 281-2104",38.8431009,-114.1899343,kids swimming lessons,22116,
Goldfish+Swim+School+ +Falls+Church,"
7395 Lee Hwy Suite K, Falls Church, VA 22042","
goldfishswimschool.com","
(703) 215-4593",38.8431009,-114.1899343,kids swimming lessons,22116,
Swimkids+Swim+School+ +Leesburg,"
681 Potomac Station Dr, Leesburg, VA 20176","
swimkids.us","
(703) 962-7946",38.8431009,-114.1899343,kids swimming lessons,22116,
Big+Blue+Swim+School,"
13015 Lee Jackson Memorial Hwy Service Rd, Fairfax, VA 22033","
bigblueswimschool.com","
(571) 773-7559",38.8431009,-114.1899343,kids swimming lessons,22116,
Kids+First+Swim+School+ +Springfield,"
5238 Port Royal Rd, Springfield, VA 22151","
kidsfirstnova.com","
(703) 321-7946",38.8431009,-114.1899343,kids swimming lessons,22116,
Aqua Tots+Swim+School+Falls+Church,"
1104b W Broad St, Falls Church, VA 22046","
aqua-tots.com","
(571) 356-9985",38.8431009,-114.1899343,kids swimming lessons,22116,
Spring+Hill+Rec+Center,"
1239 Spring Hill Rd, McLean, VA 22102","
fairfaxcounty.gov","
(703) 827-0989",38.8431009,-114.1899343,kids swimming lessons,22116,
Goldfish+Swim+School+ +Reston,"
1239 Spring Hill Rd, McLean, VA 22102","
fairfaxcounty.gov","
(703) 827-0989",38.8431009,-114.1899343,kids swimming lessons,22116,
Tuckahoe+Recreation+Club,"
1814 Great Falls St, McLean, VA 22101","
tuckahoe.net","
(703) 356-1205",38.8431009,-114.1899343,kids swimming lessons,22116,
Goldfish+Swim+School+ +Ashburn,"
1814 Great Falls St, McLean, VA 22101","
tuckahoe.net","
(703) 356-1205",38.8431009,-114.1899343,kids swimming lessons,22116,
Franconia+Rec+Center,"
6601 Telegraph Rd, Alexandria, VA 22310","
fairfaxcounty.gov","
(703) 922-9841",38.8431009,-114.1899343,kids swimming lessons,22116,
Instaswim,,"
instaswimusa.com","
(888) 610-2656",31.824929,-151.265898,kids swimming lessons,22116,
Hall+Swim+Academy,,"
instaswimusa.com","
(888) 610-2656",31.824929,-151.265898,kids swimming lessons,22116,
Kids+First+Swim+School+ +Manassas,"
10298 Festival Ln, Manassas, VA 20109","
kidsfirstswim.com","
(571) 535-3200",38.7791523,-114.4188161,kids swimming lessons,22116,
Life+Time,"
9602 Main St, Fairfax, VA 22031","
lifetime.life","
(703) 323-8700",38.7791523,-114.4188161,kids swimming lessons,22116,
Swimming+Lesson+Club+Usa,,"
swimlessonclubusa.com","
(904) 612-2105",46.423669,-166.8567711,kids swimming lessons,22116,
Sunsational+Swim+School+ +Private+Swim+Lessons+At+Home+ +Lifeguard+Service,,"
sunsationalswimschool.com","
(888) 788-2140",33.2672626,-144.2198205,kids swimming lessons,22116,
Swim+Life,,"
myswimlife.com","
(407) 878-4352",33.2672626,-144.2198205,kids swimming lessons,22116,
Everythingswim,,"
everythingswimco.lpages.co","
(202) 827-6571",38.8938062,-113.9285351,kids swimming lessons,22116,
Brooklyn+Swim+Center,"
2057 Linden Blvd, Brooklyn, NY 11207","
brooklynswim.com",,38.8938062,-113.9285351,kids swimming lessons,22116,
Sunsational+Swim+School,"
3052 Clairemont Dr, San Diego, CA 92109","
sunsationalswimschool.com","
(858) 256-7870",32.7961018,-154.1078179,indoor swim lessons for kids,22116,
"Goldfish+Swim+School+Franchising,+Llc","
2701 Industrial Row Dr, Troy, MI 48084","
goldfishswimschool.com","
(800) 856-5120",42.540209,-120.0953783,indoor swim lessons for kids,22116,
Mount+Vernon+Rec+Center,"
2017 Belle View Blvd, Alexandria, VA 22307","
fairfaxcounty.gov","
(703) 768-3224",42.540209,-120.0953783,indoor swim lessons for kids,22116,
"You+Can+Learn+To+Swim,+Llc",,"
youcanlearntoswim.com","
(336) 794-6637",42.540209,-120.0953783,indoor swim lessons for kids,22116,
Florida+Swim+Company,,"
floridaswimcompany.com","
(833) 235-7946",42.540209,-120.0953783,indoor swim lessons for kids,22116,
First+Stroke+Aquatics,,"
firststrokeaquatics.com","
(877) 843-6562",42.540209,-120.0953783,indoor swim lessons for kids,22116,
British+Swim+School+Of+Patapsco+Valley,,"
firststrokeaquatics.com","
(877) 843-6562",42.540209,-120.0953783,indoor swim lessons for kids,22116,
British+Swim+School+Of+Hudson+Waterfront,,"
britishswimschool.com","
(201) 676-3630",42.540209,-120.0953783,indoor swim lessons for kids,22116,
Splish+Splash+Swim+School+Llc,,"
splishsplashswimschool.com","
(213) 479-1132",42.540209,-120.0953783,indoor swim lessons for kids,22116,
Aqua+Warriors+Llc,,"
aquaawarriors.wixsite.com","
(646) 808-9123",42.540209,-120.0953783,indoor swim lessons for kids,22116,
Poolskool+Usa+ +Swim+School,,"
poolskoolusa.com","
(352) 394-3040",42.540209,-120.0953783,indoor swim lessons for kids,22116,
Fair+City+Mall,"
9650 Main St, Fairfax, VA 22031","
faircitymall.com","
(703) 278-8801",42.540209,-120.0953783,indoor swim lessons for kids,22116,
Swim+With+Mr.+Blue,,"
swimwithmrblue.com","
(954) 956-9955",42.540209,-120.0953783,indoor swim lessons for kids,22116,
