name,address,website,phone_number,latitude,longitude,keyword,searched_zipcode,category
Instaswim,,"
instaswimusa.com","
(888) 610-2656",31.824929,-151.265898,kids swimming lessons,22159,
Hall+Swim+Academy,,"
hallswimacademy.com","
(305) 469-5500",31.824929,-151.265898,kids swimming lessons,22159,
Propel+Swim+Academy,"
43160 Amberwood Plaza, South Riding, VA 20152","
propelswimacademy.com","
(703) 544-1992",38.9238917,-114.4239493,kids swimming lessons,22159,
Pwcs+Aquatics+Center,"
13833 Dumfries Rd Door #25, Manassas, VA 20112","
pwcsaquatics.com","
(571) 374-6333",38.9238917,-114.4239493,kids swimming lessons,22159,
Swimming+Lesson+Club+Usa,,"
swimlessonclubusa.com","
(904) 612-2105",46.423669,-166.8567711,kids swimming lessons,22159,
Swimkids+Swim+School+ +Leesburg,"
681 Potomac Station Dr, Leesburg, VA 20176","
swimkids.us","
(703) 962-7946",39.0996526,-114.4404552,kids swimming lessons,22159,
Maureen%27S+Swim+Academy,"
8143 Honeybee Ln, Tampa, FL 33635","
maureenswim.com","
(813) 855-0491",39.0996526,-114.4404552,kids swimming lessons,22159,
Aqua Tots+Swim+School+Lexington Hamburg,"
2300 Sir Barton Way, Lexington, KY 40509","
aqua-tots.com","
(859) 475-1205",39.0996526,-114.4404552,kids swimming lessons,22159,
Brookland+Swim+Academy,"
5719 Kansas Ave NW, Washington, DC 20011","
brooklandswimacademy.com","
(202) 413-5964",39.0996526,-114.4404552,kids swimming lessons,22159,
British+Swim+School+At+Kleinlife,"
10100 Jamison Ave, Philadelphia, PA 19116","
britishswimschool.com","
(215) 422-3338",39.0996526,-114.4404552,kids swimming lessons,22159,
The+Harcum+Fitness+%26+Aquatic+Center,"
2227 Taylor Park Dr, Reynoldsburg, OH 43068","
lec.org","
(614) 501-1461",39.0996526,-114.4404552,kids swimming lessons,22159,
British+Swim+School+At+The+Harcum+Fitness+%26+Aquatic+Center,"
2227 Taylor Park Dr, Reynoldsburg, OH 43068","
britishswimschool.com","
(614) 467-4187",39.0996526,-114.4404552,kids swimming lessons,22159,
Brookland+Swim+Academy,"
125 Michigan Ave NE, Washington, DC 20017","
brooklandswimacademy.com","
(202) 413-5964",39.0996526,-114.4404552,kids swimming lessons,22159,
Aqua Tots+Swim+School+Lexington,"
220 Ruccio Way Ste. 150, Lexington, KY 40503","
aqua-tots.com","
(859) 712-0271",39.0996526,-114.4404552,kids swimming lessons,22159,
Swimtastic+Swim+School+ +Omaha+%28Northwest%29,"
2920 N 118th St, Omaha, NE 68164","
swimtastic.com","
(402) 496-7946",41.2852516,-133.013359,kids swimming lessons,22159,
